"Word"	"Length"	"Freq_HAL"	"Log_Freq_HAL"	"MorphSp"	"POS"	"prefix"	"nprefix"	"root"	"nroot"
"binge"	5	291	5.67	"{binge}"	"NN|VB"	"^bi"	12	"nge"	2
"plunge"	6	1425	7.26	"{plunge}"	"NN|VB"	"^plu"	4	"nge"	2
"bisect"	6	30	3.4	"{bi--sect}"	"VB"	"^bi"	12	"sect"	3
"intersect"	9	500	6.21	"{inter--sect}"	"VB"	"^inter"	28	"sect"	3
"trisect"	7	11	2.4	"{tri--sect}"	"VB"	"^tri"	11	"sect"	3
"bitch"	5	9406	9.15	"{bitch}"	"NN|VB"	"^bi"	12	"tch"	2
"etch"	4	398	5.99	"{etch}"	"VB"	"^e"	103	"tch"	2
"bite"	4	8162	9.01	"{bite}"	"NN|VB"	"^bi"	12	"te"	2
"unite"	5	2309	7.74	"{un--ite}"	"VB"	"^uni"	2	"te"	2
"bone"	4	16063	9.68	"{bone}"	"NN|VB"	"^bon"	3	"e"	62
"cane"	4	5405	8.6	"{cane}"	"NN|VB"	"^can"	5	"e"	62
"case"	4	199506	12.2	"{case}"	"NN|VB"	"^cas"	6	"e"	62
"cause"	5	79705	11.29	"{cause}"	"NN|VB"	"^caus"	1	"e"	62
"cave"	4	7507	8.92	"{cave}"	"NN|VB"	"^cav"	2	"e"	62
"cede"	4	233	5.45	"{cede}"	"VB"	"^ced"	1	"e"	62
"come"	4	232041	12.35	"{come}"	"VB|NN"	"^com"	32	"e"	62
"core"	4	19755	9.89	"{core}"	"NN|JJ|VB"	"^cor"	8	"e"	62
"cube"	4	5028	8.52	"{cube}"	"NN|VB"	"^cub"	1	"e"	62
"curse"	5	7687	8.95	"{curse}"	"NN|VB"	"^curs"	1	"e"	62
"curve"	5	7958	8.98	"{curve}"	"NN|VB"	"^curv"	1	"e"	62
"face"	4	77706	11.26	"{face}"	"NN|VB"	"^fac"	2	"e"	62
"file"	4	311710	12.65	"{file}"	"NN|VB"	"^fil"	5	"e"	62
"fine"	4	111801	11.62	"{fine}"	"JJ|NN|VB|RB"	"^fin"	5	"e"	62
"fume"	4	222	5.4	"{fume}"	"NN|VB"	"^fum"	3	"e"	62
